"ID","Year","Journal","Issue","First.article.page","First.author","Table","Row","Column","Coefficient..as.reported.in.the.article.","Standard.error..as.reported.in.the.article.","t.value...z.value..as.reported.in.the.article.","Lower.derounding.bound.of.t.value..this.is.the.smallest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Upper.derounding.bound.of.t.value..this.is.the.largest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Type.of.test..as.reported.in.the.article.","p.value.interval.as.implied.by.reported.statistical.values...this.is.the.p.value.interval.corresponding.to.the.lower.and.upper.derounding.bound.of.the.t.value.and.the.type.of.test..using.the.standard.normal.distribution.and.rounded.to.6.decimal.places.","p.value.interval.as.reported.by.means.of.eye.catchers","error_id"
9,2006,"Journal of Political Economy",114.1,61,"Brown","A_2",4,3,0.179,0.115,NA,1.545455,1.567686,"two sided","0.116955 < p < 0.122236","0.05 < p < 0.1","Brown_61_A_2_4_3"
10,2006,"Journal of Political Economy",114.1,61,"Brown","A_2",5,1,0.064,0.026,NA,2.396226,2.529412,"two sided","0.011425 < p < 0.016565","0 < p < 0.01","Brown_61_A_2_5_1"
11,2006,"Journal of Political Economy",114.1,61,"Brown","A_2",6,4,0.363,0.144,NA,2.508651,2.533101,"two sided","0.011306 < p < 0.012119","0 < p < 0.01","Brown_61_A_2_6_4"
12,2008,"Quarterly Journal of Economics",123.4,1679,"Brown","10",4,2,-0.254,0.107,NA,2.35814,2.389671,"two sided","0.016863 < p < 0.018367","0 < p < 0.01","Brown_1679_10_4_2"
13,2008,"Quarterly Journal of Economics",123.4,1679,"Brown","10",4,3,-0.239,0.101,NA,2.349754,2.383085,"two sided","0.017168 < p < 0.018786","0 < p < 0.01","Brown_1679_10_4_3"
1,2005,"American Economic Review",95.3,780,"Burgess","2",3,2,1.15,0.42,NA,2.694118,2.783133,"two sided","0.005384 < p < 0.007058","0.01 < p < 0.05","Burgess_780_2_3_2"
2,2005,"American Economic Review",95.3,780,"Burgess","3",1,1,2.09,0.79,NA,2.622642,2.66879,"two sided","0.007613 < p < 0.008725","0.01 < p < 0.05","Burgess_780_3_1_1"
3,2005,"American Economic Review",95.3,780,"Burgess","3",1,3,-4.74,1.79,NA,2.637883,2.658263,"two sided","0.007854 < p < 0.008343","0.01 < p < 0.05","Burgess_780_3_1_3"
4,2005,"American Economic Review",95.3,780,"Burgess","3",1,5,-4.1,1.46,NA,2.764505,2.852234,"two sided","0.004341 < p < 0.005701","0.01 < p < 0.05","Burgess_780_3_1_5"
5,2005,"American Economic Review",95.3,780,"Burgess","4",2,2,-2.22,0.78,NA,2.821656,2.870968,"two sided","0.004092 < p < 0.004778","0.01 < p < 0.05","Burgess_780_4_2_2"
6,2005,"American Economic Review",95.3,780,"Burgess","5",1,1,-4.12,1.54,NA,2.66343,2.687296,"two sided","0.007203 < p < 0.007735","0.01 < p < 0.05","Burgess_780_5_1_1"
1,2011,"American Economic Review",101.1,304,"Bustos","3_B",1,6,-0.262,0.101,NA,2.576355,2.61194,"two sided","0.009003 < p < 0.009985","0.01 < p < 0.05","Bustos_304_3_B_1_6"
2,2011,"American Economic Review",101.1,304,"Bustos","8_A",1,3,-1.304,0.498,NA,2.614845,2.622111,"two sided","0.008739 < p < 0.008927","0.01 < p < 0.05","Bustos_304_8_A_1_3"
3,2011,"American Economic Review",101.1,304,"Bustos","9_A",1,8,-0.252,0.097,NA,2.579487,2.61658,"two sided","0.008882 < p < 0.009895","0.01 < p < 0.05","Bustos_304_9_A_1_8"
4,2011,"American Economic Review",101.1,304,"Bustos","9_B",1,5,-0.393,0.151,NA,2.590759,2.614618,"two sided","0.008933 < p < 0.009576","0.01 < p < 0.05","Bustos_304_9_B_1_5"
1,2008,"Journal of Political Economy",116.3,381,"Cortes","11",3,2,-0.206,0.101,NA,2.024631,2.054726,"two sided","0.039905 < p < 0.042905","0.05 < p < 0.1","Cortes_381_11_3_2"
2,2008,"Journal of Political Economy",116.3,381,"Cortes","8",2,1,-0.085,0.041,NA,2.036145,2.111111,"two sided","0.034763 < p < 0.041736","0 < p < 0.01","Cortes_381_8_2_1"
3,2008,"Journal of Political Economy",116.3,381,"Cortes","B_2",1,2,0.217,0.073,NA,2.945578,3,"two sided","0.002700 < p < 0.003224","0.01 < p < 0.05","Cortes_381_B_2_1_2"
1,2007,"American Economic Review",97.4,1467,"Costa","3",2,3,0.024,0.008,NA,2.764706,3.266667,"two sided","0.001088 < p < 0.005697","0.01 < p < 0.05","Costa_1467_3_2_3"
2,2007,"American Economic Review",97.4,1467,"Costa","3",3,2,0.464,0.14,NA,3.196552,3.440741,"two sided","0.000580 < p < 0.001391","0.01 < p < 0.05","Costa_1467_3_3_2"
3,2007,"American Economic Review",97.4,1467,"Costa","3",3,3,0.521,0.139,NA,3.731183,3.765343,"two sided","0.000166 < p < 0.000191","0.01 < p < 0.05","Costa_1467_3_3_3"
4,2007,"American Economic Review",97.4,1467,"Costa","4",1,2,0.105,0.055,NA,1.882883,1.93578,"two sided","0.052895 < p < 0.059716","0.01 < p < 0.05","Costa_1467_4_1_2"
5,2007,"American Economic Review",97.4,1467,"Costa","5",3,3,0.079,0.032,NA,2.415385,2.52381,"two sided","0.011609 < p < 0.015719","0 < p < 0.01","Costa_1467_5_3_3"
6,2007,"American Economic Review",97.4,1467,"Costa","5",3,4,0.152,0.061,NA,2.463415,2.520661,"two sided","0.011713 < p < 0.013762","0.05 < p < 0.1","Costa_1467_5_3_4"
7,2007,"American Economic Review",97.4,1467,"Costa","6",3,4,0.151,0.061,NA,2.447154,2.504132,"two sided","0.012275 < p < 0.014399","0 < p < 0.01","Costa_1467_6_3_4"
1,2011,"American Economic Review",101.4,1616,"Crump","2",1,2,0.178,0.0977,NA,NA,1.827957,"two sided","0.067556 < p < 0.069392","0.1 < p < 1","Crump_1616_2_1_2"
1,2011,"American Economic Review",101.7,3440,"Curcuru","3",3,2,1.122,0.575,NA,1.94874,1.953873,"two sided","0.050716 < p < 0.051326","0 < p < 0.05","Curcuru_3440_3_3_2"
1,2005,"American Economic Review",95.5,1525,"Dafny","7",2,1,0.998,0.312,NA,3.192,3.205457,"two sided","0.001348 < p < 0.001413","0 < p < 0.001","Dafny_1525_7_2_1"
2,2010,"American Economic Review",100.4,1399,"Dafny","3",4,1,0.013,0.014,NA,0.862069,1,"two sided","0.317311 < p < 0.388650","0.01 < p < 0.05","Dafny_1399_3_4_1"
3,2010,"American Economic Review",100.4,1399,"Dafny","4",4,1,0.013,0.014,NA,0.862069,1,"two sided","0.317311 < p < 0.388650","0.01 < p < 0.05","Dafny_1399_4_4_1"
4,2010,"American Economic Review",100.4,1399,"Dafny","5",1,2,0.021,0.013,NA,1.518519,1.72,"two sided","0.085432 < p < 0.128884","0.01 < p < 0.05","Dafny_1399_5_1_2"
5,2010,"American Economic Review",100.4,1399,"Dafny","7",4,6,-0.207,0.054,NA,3.788991,3.878505,"two sided","0.000105 < p < 0.000151","0.01 < p < 0.05","Dafny_1399_7_4_6"
1,2008,"Quarterly Journal of Economics",123.4,1329,"de Mel","2",4,3,775,643,NA,1.203574,1.207004,"two sided","0.227431 < p < 0.228754","0.05 < p < 0.1","de Mel_1329_2_4_3"
2,2008,"Quarterly Journal of Economics",123.4,1329,"de Mel","3",2,3,5.47,2.08,NA,2.621103,2.638554,"two sided","0.008326 < p < 0.008765","0.01 < p < 0.05","de Mel_1329_3_2_3"
3,2008,"Quarterly Journal of Economics",123.4,1329,"de Mel","3",7,5,8.95,4.53,NA,1.972437,1.979006,"two sided","0.047815 < p < 0.048560","0.05 < p < 0.1","de Mel_1329_3_7_5"
4,2008,"Quarterly Journal of Economics",123.4,1329,"de Mel","5",1,3,5.29,2.15,NA,2.452436,2.468531,"two sided","0.013567 < p < 0.014189","0 < p < 0.01","de Mel_1329_5_1_3"
5,2008,"Quarterly Journal of Economics",123.4,1329,"de Mel","6",3,3,-1.23,0.62,NA,1.96,2.00813,"two sided","0.044629 < p < 0.049996","0.05 < p < 0.1","de Mel_1329_6_3_3"
1,2011,"American Economic Review",101.7,3078,"Dinkelman","10_A",1,4,0.129,0.058,NA,2.196581,2.252174,"two sided","0.024311 < p < 0.028050","0.05 < p < 0.1","Dinkelman_3078_10_A_1_4"
1,2011,"American Economic Review",101.5,2157,"Draca","3_A",2,3,-0.054,0.032,NA,1.646154,1.730159,"two sided","0.083602 < p < 0.099732","0.1 < p < 1","Draca_2157_3_A_2_3"
1,2006,"Quarterly Journal of Economics",121.1,1,"Duggan","4",1,6,92.3,46.4,NA,1.986006,1.992449,"two sided","0.046322 < p < 0.047033","0.05 < p < 0.1","Duggan_1_4_1_6"
2,2010,"American Economic Review",100.1,590,"Duggan","5",2,5,1.027,0.497,NA,2.063317,2.069486,"two sided","0.038500 < p < 0.039083","0.05 < p < 0.1","Duggan_590_5_2_5"
1,2011,"American Economic Review",101.4,1497,"Eckel","8",2,4,-3.084,1.141,NA,2.70127,2.704516,"two sided","0.006840 < p < 0.006908","0.01 < p < 0.05","Eckel_1497_8_2_4"
1,2010,"American Economic Review",100.5,2492,"Eichholtz","4_A",1,5,-3.081,1.564,NA,1.969,1.970899,"two sided","0.048735 < p < 0.048953","0.05 < p < 0.1","Eichholtz_2492_4_A_1_5"
1,2011,"American Economic Review",101.7,3253,"Enikolopov","2_C",1,3,-1.72,0.66,NA,2.578947,2.633588,"two sided","0.008449 < p < 0.009910","0.01 < p < 0.05","Enikolopov_3253_2_C_1_3"
2,2011,"American Economic Review",101.7,3253,"Enikolopov","4",1,4,-2.85,1.71,NA,1.658892,1.674487,"two sided","0.094035 < p < 0.097138","0.1 < p < 1","Enikolopov_3253_4_1_4"
1,2006,"American Economic Review",96.5,1515,"Feinberg","6_2",2,4,0.422,0.203,NA,2.071253,2.08642,"two sided","0.036941 < p < 0.038335","0.05 < p < 0.1","Feinberg_1515_6_2_2_4"
2,2006,"American Economic Review",96.5,1515,"Feinberg","6_2",5,3,-0.1537,0.0669,NA,2.294996,2.299925,"two sided","0.021452 < p < 0.021733","0.05 < p < 0.1","Feinberg_1515_6_2_5_3"
3,2006,"American Economic Review",96.5,1515,"Feinberg","6_2",5,4,-0.155,0.0668,NA,2.311144,2.329588,"two sided","0.019828 < p < 0.020825","0.05 < p < 0.1","Feinberg_1515_6_2_5_4"
1,2005,"Quarterly Journal of Economics",120.1,273,"Fernandez","4",2,4,0.175,0.066,NA,2.62406,2.679389,"two sided","0.007376 < p < 0.008689","0.01 < p < 0.05","Fernandez_273_4_2_4"
2,2005,"Quarterly Journal of Economics",120.1,273,"Fernandez","4",2,6,0.133,0.047,NA,2.789474,2.870968,"two sided","0.004092 < p < 0.005279","0.01 < p < 0.05","Fernandez_273_4_2_6"
3,2005,"Quarterly Journal of Economics",120.1,273,"Fernandez","4",2,7,1.27,0.591,NA,2.146238,2.151566,"two sided","0.031432 < p < 0.031854","0.05 < p < 0.1","Fernandez_273_4_2_7"
4,2005,"Quarterly Journal of Economics",120.1,273,"Fernandez","4_2",2,3,1.39,0.706,NA,1.966737,1.970943,"two sided","0.048730 < p < 0.049213","0.05 < p < 0.1","Fernandez_273_4_2_2_3"
5,2005,"Quarterly Journal of Economics",120.1,273,"Fernandez","4_2",2,6,0.133,0.047,NA,2.789474,2.870968,"two sided","0.004092 < p < 0.005279","0.01 < p < 0.05","Fernandez_273_4_2_2_6"
6,2005,"Quarterly Journal of Economics",120.1,273,"Fernandez","4_2",2,7,1.256,0.599,NA,2.094245,2.099415,"two sided","0.035780 < p < 0.036238","0.05 < p < 0.1","Fernandez_273_4_2_2_7"
7,2005,"Quarterly Journal of Economics",120.1,273,"Fernandez","5",3,2,0.055,0.02,NA,2.658537,2.846154,"two sided","0.004425 < p < 0.007848","0.01 < p < 0.05","Fernandez_273_5_3_2"
8,2005,"Quarterly Journal of Economics",120.1,273,"Fernandez","6",2,1,0.426,0.209,NA,2.031026,2.045564,"two sided","0.040799 < p < 0.042252","0.05 < p < 0.1","Fernandez_273_6_2_1"
9,2005,"Quarterly Journal of Economics",120.1,273,"Fernandez","6",2,2,0.269,0.132,NA,2.026415,2.04943,"two sided","0.040420 < p < 0.042722","0.05 < p < 0.1","Fernandez_273_6_2_2"
10,2005,"Quarterly Journal of Economics",120.1,273,"Fernandez","6",2,6,0.405,0.133,NA,3.029963,3.060377,"two sided","0.002211 < p < 0.002446","0.01 < p < 0.05","Fernandez_273_6_2_6"
11,2005,"Quarterly Journal of Economics",120.1,273,"Fernandez","8",2,6,0.057,0.018,NA,3.054054,3.285714,"two sided","0.001017 < p < 0.002258","0.01 < p < 0.05","Fernandez_273_8_2_6"
1,2011,"American Economic Review",101.4,1274,"Ferraz","10",4,2,0.084,0.029,NA,2.830508,2.964912,"two sided","0.003028 < p < 0.004647","0.01 < p < 0.05","Ferraz_1274_10_4_2"
2,2011,"American Economic Review",101.4,1274,"Ferraz","4",1,8,-0.042,0.012,NA,3.32,3.695652,"two sided","0.000219 < p < 0.000900","0.01 < p < 0.05","Ferraz_1274_4_1_8"
3,2011,"American Economic Review",101.4,1274,"Ferraz","5",1,4,-0.456,0.127,NA,3.572549,3.608696,"two sided","0.000308 < p < 0.000354","0.01 < p < 0.05","Ferraz_1274_5_1_4"
4,2011,"American Economic Review",101.4,1274,"Ferraz","9",2,3,1.528,0.572,NA,2.668122,2.674541,"two sided","0.007483 < p < 0.007628","0.01 < p < 0.05","Ferraz_1274_9_2_3"
5,2011,"American Economic Review",101.4,1274,"Ferraz","9",4,3,-1.107,0.423,NA,2.612751,2.621302,"two sided","0.008759 < p < 0.008982","0.01 < p < 0.05","Ferraz_1274_9_4_3"
1,2007,"Quarterly Journal of Economics",122.4,1561,"Field","4",2,4,12.34,7.48,NA,1.647963,1.651505,"two sided","0.098635 < p < 0.099360","0.1 < p < 1","Field_1561_4_2_4"
1,2006,"American Economic Review",96.4,938,"Finkelstein","4",2,3,-0.033,0.012,NA,2.6,2.913043,"two sided","0.003579 < p < 0.009322","0.01 < p < 0.05","Finkelstein_938_4_2_3"
2,2006,"American Economic Review",96.4,938,"Finkelstein","5_A",1,3,-0.038,0.014,NA,2.586207,2.851852,"two sided","0.004347 < p < 0.009704","0.01 < p < 0.05","Finkelstein_938_5_A_1_3"
1,2010,"American Economic Review",100.3,837,"Fowlie","4",3,5,-0.96,0.46,NA,2.053763,2.120879,"two sided","0.033932 < p < 0.039999","0.05 < p < 1","Fowlie_837_4_3_5"
2,2010,"American Economic Review",100.3,837,"Fowlie","4",3,6,-2.42,0.31,NA,7.666667,7.95082,"two sided","0.000000 < p < 0.000001","0.05 < p < 1","Fowlie_837_4_3_6"
3,2010,"American Economic Review",100.3,837,"Fowlie","4",4,3,-0.28,0.12,NA,2.2,2.478261,"two sided","0.013202 < p < 0.027807","0 < p < 0.01","Fowlie_837_4_4_3"
1,2005,"Journal of Political Economy",113.3,518,"Gertler","4",2,1,NA,NA,2.38,2.375,2.385,"two sided","0.017079 < p < 0.017549","0 < p < 0.01","Gertler_518_4_2_1"
1,2009,"Journal of Political Economy",117.5,941,"Gomes","5_B",1,2,-2.87,1.73,NA,1.651297,1.666667,"two sided","0.095581 < p < 0.098678","0.1 < p < 1","Gomes_941_5_B_1_2"
2,2009,"Journal of Political Economy",117.5,941,"Gomes","7_A",1,2,0.82,0.31,NA,2.587302,2.704918,"two sided","0.006832 < p < 0.009673","0.01 < p < 0.05","Gomes_941_7_A_1_2"
3,2009,"Journal of Political Economy",117.5,941,"Gomes","7_C",1,3,-4.55,1.71,NA,2.650146,2.671554,"two sided","0.007550 < p < 0.008046","0.01 < p < 0.05","Gomes_941_7_C_1_3"
4,2009,"Journal of Political Economy",117.5,941,"Gomes","7_C",1,4,-4.47,1.68,NA,2.649852,2.671642,"two sided","0.007548 < p < 0.008053","0.01 < p < 0.05","Gomes_941_7_C_1_4"
1,2008,"Quarterly Journal of Economics",123.4,1611,"Goolsbee","2",5,1,-0.1,0.049,NA,2.010101,2.072165,"two sided","0.038250 < p < 0.044420","0.05 < p < 0.1","Goolsbee_1611_2_5_1"
2,2008,"Quarterly Journal of Economics",123.4,1611,"Goolsbee","6",5,1,-0.1,0.049,NA,2.010101,2.072165,"two sided","0.038250 < p < 0.044420","0.05 < p < 0.1","Goolsbee_1611_6_5_1"
1,2009,"Journal of Political Economy",117.3,504,"Gorodnichenko","8",1,3,-0.123,0.05,NA,2.425743,2.494949,"two sided","0.012598 < p < 0.015277","0 < p < 0.01","Gorodnichenko_504_8_1_3"
1,2010,"Journal of Political Economy",118.3,536,"Greenstone","10",2,2,0.1053,0.0535,NA,1.965453,1.971001,"two sided","0.048724 < p < 0.049362","0.05 < p < 0.1","Greenstone_536_10_2_2"
1,2010,"American Economic Review",100.1,247,"Harrison","2",4,2,NA,NA,1.99,1.985,1.995,"two sided","0.046043 < p < 0.047144","0.05 < p < 1","Harrison_247_2_4_2"
2,2010,"American Economic Review",100.1,247,"Harrison","3",1,4,NA,NA,3.37,3.365,3.375,"two sided","0.000738 < p < 0.000765","0.01 < p < 0.05","Harrison_247_3_1_4"
3,2010,"American Economic Review",100.1,247,"Harrison","3",1,6,NA,NA,2.86,2.855,2.865,"two sided","0.004170 < p < 0.004304","0.01 < p < 0.05","Harrison_247_3_1_6"
4,2010,"American Economic Review",100.1,247,"Harrison","3",2,2,NA,NA,2.65,2.645,2.655,"two sided","0.007931 < p < 0.008169","0.01 < p < 0.05","Harrison_247_3_2_2"
5,2010,"American Economic Review",100.1,247,"Harrison","3",2,5,NA,NA,2.68,2.675,2.685,"two sided","0.007253 < p < 0.007473","0.01 < p < 0.05","Harrison_247_3_2_5"
6,2010,"American Economic Review",100.1,247,"Harrison","6_B",2,4,NA,NA,3.07,3.065,3.075,"two sided","0.002105 < p < 0.002177","0.01 < p < 0.05","Harrison_247_6_B_2_4"
7,2010,"American Economic Review",100.1,247,"Harrison","7",3,5,NA,NA,1.99,1.985,1.995,"two sided","0.046043 < p < 0.047144","0.05 < p < 1","Harrison_247_7_3_5"
8,2010,"American Economic Review",100.1,247,"Harrison","7",3,6,NA,NA,2.03,2.025,2.035,"two sided","0.041851 < p < 0.042867","0.05 < p < 1","Harrison_247_7_3_6"
9,2010,"American Economic Review",100.1,247,"Harrison","9",2,6,NA,NA,2.62,2.615,2.625,"two sided","0.008665 < p < 0.008923","0.01 < p < 0.05","Harrison_247_9_2_6"
10,2010,"American Economic Review",100.1,247,"Harrison","9",3,1,NA,NA,2.9,2.85,2.95,"two sided","0.003178 < p < 0.004372","0.01 < p < 0.05","Harrison_247_9_3_1"
11,2010,"American Economic Review",100.1,247,"Harrison","9",5,7,NA,NA,2.67,2.665,2.675,"two sided","0.007473 < p < 0.007699","0.01 < p < 0.05","Harrison_247_9_5_7"
12,2010,"American Economic Review",100.1,247,"Harrison","9",5,8,NA,NA,2.61,2.605,2.615,"two sided","0.008923 < p < 0.009187","0.01 < p < 0.05","Harrison_247_9_5_8"
1,2008,"Quarterly Journal of Economics",123.4,1373,"Hastings","4",3,2,0.11,0.041,NA,2.638554,2.728395,"two sided","0.006364 < p < 0.008326","0.01 < p < 0.05","Hastings_1373_4_3_2"
2,2008,"Quarterly Journal of Economics",123.4,1373,"Hastings","6_A",3,2,0.043,0.024,NA,1.734694,1.851064,"two sided","0.064160 < p < 0.082795","0.1 < p < 1","Hastings_1373_6_A_3_2"
3,2008,"Quarterly Journal of Economics",123.4,1373,"Hastings","6_B",1,3,0.073,0.036,NA,1.986301,2.070423,"two sided","0.038413 < p < 0.047000","0.05 < p < 0.1","Hastings_1373_6_B_1_3"
4,2008,"Quarterly Journal of Economics",123.4,1373,"Hastings","7",4,2,0.243,0.122,NA,1.979592,2.004115,"two sided","0.045058 < p < 0.047749","0.05 < p < 0.1","Hastings_1373_7_4_2"
5,2008,"Quarterly Journal of Economics",123.4,1373,"Hastings","7",7,1,0.06,0.022,NA,2.644444,2.813953,"two sided","0.004894 < p < 0.008183","0.01 < p < 0.05","Hastings_1373_7_7_1"
1,2010,"Quarterly Journal of Economics",125.4,1683,"Hong","7",2,1,-0.0019,6e-04,NA,2.846154,3.545455,"two sided","0.000392 < p < 0.004425","0.01 < p < 0.05","Hong_1683_7_2_1"
2,2010,"Quarterly Journal of Economics",125.4,1683,"Hong","8",2,2,0.0902,0.0556,NA,1.619946,1.624662,"two sided","0.104234 < p < 0.105244","0.05 < p < 0.1","Hong_1683_8_2_2"
3,2010,"Quarterly Journal of Economics",125.4,1683,"Hong","9",1,1,0.0106,0.0067,NA,1.562963,1.601504,"two sided","0.109265 < p < 0.118061","0.05 < p < 0.1","Hong_1683_9_1_1"
1,2007,"American Economic Review",97.5,2038,"Hoxby","1",2,5,5.55,3.39,NA,1.633284,1.641064,"two sided","0.100784 < p < 0.102409","0.05 < p < 0.1","Hoxby_2038_1_2_5"
2,2007,"American Economic Review",97.5,2038,"Hoxby","3",3,1,5.86,2.81,NA,2.079929,2.090909,"two sided","0.036536 < p < 0.037532","0.05 < p < 0.1","Hoxby_2038_3_3_1"
1,2011,"American Economic Review",101.2,819,"Huck","3",4,4,NA,NA,3.32,3.315,3.325,"two sided","0.000884 < p < 0.000916","0.01 < p < 0.05","Huck_819_3_4_4"
2,2011,"American Economic Review",101.2,819,"Huck","3",5,2,NA,NA,2.21,2.205,2.215,"two sided","0.026760 < p < 0.027454","0.05 < p < 0.1","Huck_819_3_5_2"
3,2011,"American Economic Review",101.2,819,"Huck","3",5,4,NA,NA,3.04,3.035,3.045,"two sided","0.002327 < p < 0.002405","0.01 < p < 0.05","Huck_819_3_5_4"
4,2011,"American Economic Review",101.2,819,"Huck","3",6,1,NA,NA,4.03,4.025,4.035,"two sided","0.000055 < p < 0.000057","0.01 < p < 0.05","Huck_819_3_6_1"
5,2011,"American Economic Review",101.2,819,"Huck","3",7,2,NA,NA,1.92,1.915,1.925,"two sided","0.054229 < p < 0.055493","0.1 < p < 1","Huck_819_3_7_2"
6,2011,"American Economic Review",101.2,819,"Huck","3",7,4,NA,NA,2.44,2.435,2.445,"two sided","0.014485 < p < 0.014892","0.05 < p < 0.1","Huck_819_3_7_4"
1,2005,"American Economic Review",95.5,1605,"Ivkovic","4",9,2,1.37,0.07,NA,18.2,21.153846,"two sided","0.000000 < p < 0.000001","0.1 < p < 1","Ivkovic_1605_4_9_2"
2,2005,"American Economic Review",95.5,1605,"Ivkovic","5",10,6,-3.87,1.59,NA,2.423197,2.444795,"two sided","0.014493 < p < 0.015385","0 < p < 0.01","Ivkovic_1605_5_10_6"
3,2005,"American Economic Review",95.5,1605,"Ivkovic","6",11,2,1.59,0.65,NA,2.419847,2.472868,"two sided","0.013403 < p < 0.015527","0 < p < 0.01","Ivkovic_1605_6_11_2"
4,2005,"American Economic Review",95.5,1605,"Ivkovic","6",11,3,-1.82,0.72,NA,2.503448,2.552448,"two sided","0.010697 < p < 0.012299","0 < p < 0.01","Ivkovic_1605_6_11_3"
5,2005,"American Economic Review",95.5,1605,"Ivkovic","6",11,5,-1.78,0.92,NA,1.918919,1.95082,"two sided","0.051079 < p < 0.054995","0.01 < p < 0.05","Ivkovic_1605_6_11_5"
6,2005,"American Economic Review",95.5,1605,"Ivkovic","6",11,7,-2.18,0.86,NA,2.514451,2.555556,"two sided","0.010602 < p < 0.011922","0 < p < 0.01","Ivkovic_1605_6_11_7"
7,2005,"American Economic Review",95.5,1605,"Ivkovic","6",12,7,-1.03,0.09,NA,10.789474,12.176471,"two sided","0.000000 < p < 0.000001","0.1 < p < 1","Ivkovic_1605_6_12_7"
8,2005,"American Economic Review",95.5,1605,"Ivkovic","6",9,5,-0.65,0.34,NA,1.869565,1.955224,"two sided","0.050557 < p < 0.061544","0.01 < p < 0.05","Ivkovic_1605_6_9_5"
9,2005,"American Economic Review",95.5,1605,"Ivkovic","7",10,6,0.77,0.33,NA,2.283582,2.384615,"two sided","0.017097 < p < 0.022396","0.05 < p < 0.1","Ivkovic_1605_7_10_6"
1,2008,"Quarterly Journal of Economics",123.4,1465,"Iyigun","3",1,4,-1.46,0.759,NA,1.915734,1.931444,"two sided","0.053428 < p < 0.055399","0 < p < 0.05","Iyigun_1465_3_1_4"
2,2008,"Quarterly Journal of Economics",123.4,1465,"Iyigun","4",2,1,1.04,0.646,NA,1.600928,1.6189,"two sided","0.105469 < p < 0.109393","0.05 < p < 0.1","Iyigun_1465_4_2_1"
1,2006,"Journal of Political Economy",114.3,538,"Jayachandran","4",3,2,-0.095,0.046,NA,2.032258,2.098901,"two sided","0.035826 < p < 0.042128","0.05 < p < 0.1","Jayachandran_538_4_3_2"
2,2006,"Journal of Political Economy",114.3,538,"Jayachandran","6",2,3,0.037,0.028,NA,1.280702,1.363636,"two sided","0.172682 < p < 0.200298","0.01 < p < 0.05","Jayachandran_538_6_2_3"
3,2006,"Journal of Political Economy",114.3,538,"Jayachandran","6",2,4,0.029,0.027,NA,1.036364,1.113208,"two sided","0.265619 < p < 0.300033","0.05 < p < 0.1","Jayachandran_538_6_2_4"
4,2009,"Quarterly Journal of Economics",124.1,349,"Jayachandran","5_A",1,6,-1.354,0.797,NA,1.697179,1.700565,"two sided","0.089025 < p < 0.089663","0.1 < p < 1","Jayachandran_349_5_A_1_6"
5,2009,"Quarterly Journal of Economics",124.1,349,"Jayachandran","5_C",1,1,-0.904,0.458,NA,1.970556,1.977049,"two sided","0.048036 < p < 0.048775","0.05 < p < 0.1","Jayachandran_349_5_C_1_1"
6,2009,"Quarterly Journal of Economics",124.1,349,"Jayachandran","6",1,3,-1.378,0.754,NA,1.825712,1.829463,"two sided","0.067330 < p < 0.067894","0.01 < p < 0.05","Jayachandran_349_6_1_3"
7,2009,"Quarterly Journal of Economics",124.1,349,"Jayachandran","8",1,1,-5.15,2.55,NA,2.013699,2.02554,"two sided","0.042812 < p < 0.044041","0.05 < p < 0.1","Jayachandran_349_8_1_1"
8,2011,"Quarterly Journal of Economics",126.3,1485,"Jayachandran","5",2,1,2.145,0.781,NA,2.744082,2.748879,"two sided","0.005980 < p < 0.006068","0.01 < p < 0.05","Jayachandran_1485_5_2_1"
1,2009,"Journal of Political Economy",117.1,138,"Kirwan","5",2,3,-1.74,1.035,NA,1.679865,1.682455,"two sided","0.092481 < p < 0.092984","0.1 < p < 1","Kirwan_138_5_2_3"
1,2007,"Quarterly Journal of Economics",122.3,1007,"Kremer","6_A",2,2,0.042,0.013,NA,3.074074,3.4,"two sided","0.000674 < p < 0.002112","0.01 < p < 0.05","Kremer_1007_6_A_2_2"
1,2009,"American Economic Review",99.5,1850,"Landeo","6",1,2,-0.097,0.035,NA,2.71831,2.826087,"two sided","0.004712 < p < 0.006562","0.01 < p < 0.05","Landeo_1850_6_1_2"
2,2009,"American Economic Review",99.5,1850,"Landeo","6",4,4,-0.2,0.099,NA,2.005025,2.035533,"two sided","0.041797 < p < 0.044960","0.05 < p < 0.1","Landeo_1850_6_4_4"
3,2009,"American Economic Review",99.5,1850,"Landeo","7",2,1,-0.164,0.121,NA,1.345679,1.365145,"two sided","0.172207 < p < 0.178406","0.05 < p < 0.1","Landeo_1850_7_2_1"
4,2009,"American Economic Review",99.5,1850,"Landeo","7",2,2,0.282,0.141,NA,1.989399,2.010676,"two sided","0.044360 < p < 0.046657","0.05 < p < 0.1","Landeo_1850_7_2_2"
1,2006,"Quarterly Journal of Economics",121.2,747,"Landry","4",18,7,-0.07,0.03,NA,1.857143,3,"two sided","0.002700 < p < 0.063291","0.1 < p < 1","Landry_747_4_18_7"
2,2010,"American Economic Review",100.3,958,"Landry","5",3,3,1.95,1.31,NA,1.479087,1.498084,"two sided","0.134111 < p < 0.139117","0 < p < 0.1","Landry_958_5_3_3"
